Month,Building_Type,Building_Age,Building_Area_(sqm),Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Damage_Scale,Time_to_Extinguish_(min),Response_Time_(min),Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Fire_Safety_Training_Conducted,Nearest_Fire_Station_Location,Width_of_Nearby_Roads_(m),Distance_to_Nearby_Buildings_(m),Types_of_Nearby_Buildings,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
8,Residential,52,982,34,10,Yes,Chemical,Large,Small,43,11,38,3,Yes,10,10,No,North,20,72,Industrial,Yes,Yes,1-3 years,21.1,41.1,4.2,25.3
10,Commercial,83,704,14,4,Yes,Chemical,Small,Medium,39,49,17,6,Yes,4,6,No,South,10,94,Residential,Yes,Yes,None,28.4,99.4,4.5,43.2
7,Residential,76,776,14,4,Yes,Electrical,Medium,Small,59,14,8,6,No,5,6,No,North,10,18,Residential,Yes,Yes,None,16.5,66.9,4.4,82.5
4,Commercial,41,191,14,4,Yes,Negligence,Large,Small,19,9,31,4,No,6,10,No,West,9,59,Industrial,Yes,Yes,Within 1 year,25.2,78.4,4.1,72.4
2,Commercial,27,211,45,13,No,Negligence,Medium,Medium,55,7,22,7,Yes,14,1,Yes,North,12,70,Residential,No,Yes,1-3 years,17.3,84.9,3.6,17.4
7,Commercial,69,785,7,2,No,Chemical,Medium,Large,37,46,42,2,No,2,0,No,West,14,30,Public,No,No,Over 3 years,25.8,84.3,3.0,10.1
3,Industrial,82,137,38,11,No,Chemical,Small,Medium,54,31,34,8,No,6,9,No,South,2,73,Public,No,No,None,29.7,65.1,2.1,25.6
1,Industrial,55,495,29,8,Yes,Negligence,Medium,Medium,37,25,33,10,No,6,8,No,South,3,93,Commercial,Yes,Yes,1-3 years,27.7,62.9,4.2,12.2
12,Industrial,21,837,45,13,No,Chemical,Small,Large,11,1,50,7,No,6,3,Yes,North,2,46,Public,No,No,Over 3 years,23.3,68.1,1.2,9.1
7,Residential,5,855,10,3,No,Negligence,Medium,Medium,46,14,39,5,No,3,1,No,South,7,98,Public,Yes,Yes,None,15.2,65.5,3.0,10.2
